text,img,label
SONY都会破产这这这抓狂 我在,2140,1
人生就是一个不停放弃的过程放弃童年的无忧成全长大的期望放弃青春的美丽换取成熟的智慧放弃爱情的甜蜜换取家庭的安稳放弃掌声的动听换取心灵的平静接受与否有时我们并无选择爱因为不能拥有而深刻梦因为不能圆而美丽人生总是带着残缺的美因缺憾而凄美,2949,0
帝都是怎么了震惊米娜33今儿北京毒气爆表晚上10点我家水龙头放出来的水成这样儿了一盆毒死你奉劝大家这两天儿大家还是把自来水儿给戒了吧围观,397,1
截图有真相此前李剑芒A045 老榕 为了袒护赵士林89 在网友投票时出动了所谓的铁骑军图1图2今天李剑芒再次提及铁骑军图3那么他所谓的铁骑军到底是什么样的情况截图图4图9请微博管理员 微博小秘书 微博辟谣 关注这些投票专业户严厉打击网络黑社会,3161,0
微镜头和爸妈在一起心照片中摄影师通过摄像头和投影仪让身处异地的家人合影虽然空间不同但由于那份永恒的血缘关系让照片看起来格外温馨昨天起不常回家看望或问候老人将属违法其实这只为让大家多关心父母因为这世上再也没有任何人可以像父母一样爱我们如生命 ,3033,0
NBA精彩gif JR史密斯压哨绝杀这也是他本赛季第二次上演绝杀如果你是主教练你认为现役球员中谁最有资格执行最后一投,2835,0
大提琴质朴流畅的旋律像悠长的溪水流淌缓缓地倾诉着不自觉地闭上双眼心轻易地沉静下来  电影嘉莉珐夫人配乐 大提琴马友友 埃尼奥莫里康内指挥 罗马交响乐团,3211,0
很喜欢这个姿势有木有但每天晚上我抱的却是被子你呢晚安月亮,4058,0
杭州校园雅安地震专题报道搜救犬牺牲同样是生命为它默哀吧昨天下午一只军用搜救犬发现一位大爷它就钻进里面结果塌陷了当战士们将其挖出的时候发现军犬的内脏已经砸烂这只狗狗在这几天已经发现了35名幸存者有32名获救听到噩耗狗的主人负责人李指导像失去孩子父亲般失声痛哭,2423,1
熊乃瑾与富商男友微博调情约炮昨天我爆料了熊乃瑾xiong 与男友WongPok 在微博调情事件后来被天涯网友直播我很佩服天涯网友的挖掘能力挖出了很多真相包括熊乃瑾整容照片定性微博约炮接下来曝光了两人各种微博互动乃至逼婚的截图更离谱的是还挖出了巨乳国模章小依 微博约炮记录,621,1
新闻联播火车盒饭只要5元 你吃过吗新闻联播记者亲身登上火车报道火车上的东西一点都不贵网友吐槽央视记者是怎么买到火车票的能不能别逗了5元太能扯了最便宜矿泉水都要五块以上还能买盒饭播新闻联播的人难道没坐过火车,1670,1
有同行已经在微博上证实了是苹果的对手出了高价钱花了两千多万借助央视这个特殊的平台和315这个特殊的日子猛黑苹果微博首发的大号开价基本在15万一条 ,897,1
我2010年8月起开微博至今两年多每天上班路上写的一些有关节气的文字就如同微读书卡片现在编成了这本书也算是一点小小的成果中华工商联合出版社对这本书的热诚感动了我他们做得很精心此书周一开始就可在当当卓越亚马逊京东商城购买了向有兴趣的朋友们推荐一下,4446,0
